ProposedMaterial,IGSN_SESAR_Label,IGSN_Core_Label,IGSN Core ID,ENVO_PO_Label,ENVO_PO_ID,ENVO_notes,
NA,Biology,NA,NA,NA,NA,NA,
NA,NA,air,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/air""/>",gaseous environmental material: air,http://purl.obolibrary.org/obo/ENVO_00002005,,
gaseous environmental material,Gas,gas,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/gas""/>",gaseous environmental material,http://purl.obolibrary.org/obo/ENVO_01000797,,
ice,Ice,ice,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/ice""/>",ice,http://purl.obolibrary.org/obo/ENVO_01001125,,
liquid environmental material: liquid water,Liquid>aqueous,liquidAqueous,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/liquidAqueous""/>",liquid environmental material: liquid water,http://purl.obolibrary.org/obo/ENVO_00002006,"many liquid sub categories, most useful ones listed below",
organic material: biofilm material,Liquid>organic,liquidOrganic,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/liquidOrganic""/>",organic material,http://purl.obolibrary.org/obo/ENVO_01000156,not perfect match: some useful subcategories,
NA,Mineral,mineral,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/mineral""/>",solid environmental material: mineral material,http://purl.obolibrary.org/obo/ENVO_01000256,"misplaced in hierarchy under ice, solid environmental material",
particulate matter,Particulate,particulate,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/particulate""/>",particulate matter,http://purl.obolibrary.org/obo/ENVO_01000060,,
particulate matter: particulate organic matter,Particulate,particulate,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/particulate""/>",particulate matter: particulate organic matter,Particulate,particulate,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/particulate""/>"
rock,Rock,rock,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/rock""/>",solid environmental material: rock,http://purl.obolibrary.org/obo/ENVO_00001995,"misplaced in hierarchy, under ice?",
sediment,Sediment,sediment,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/sediment""/>",sediment,http://purl.obolibrary.org/obo/ENVO_00002007,many subcategories for sediment that seem useful,
snow,NA,snow,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/snow""/>",snow,http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01000406,,
soil,Soil,soil,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/soil""/>",soil,http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_01000406,many subcategories for soil,
NA,NA,tissue,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/tissue""/>",,,,
NA,Other,other,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/other""/>",,,,
NA,NA,unknown,"<xs:enumeration value=""http://vocabulary.odm2.org/medium/unknown""/>",,,,
NA,Synthetic,NA,NA,NA,NA,NA,
NA,NotApplicable,NA,NA,NA,NA,NA,
NA,NA,NA,NA,liquid environmental material: liquid water: fresh water,http://purl.obolibrary.org/obo/ENVO_00002011,,
NA,NA,NA,NA,liquid environmental material: liquid water: saline water,http://purl.obolibrary.org/obo/ENVO_00002010,,
liquid environmental material: liquid water: surface water,NA,NA,NA,liquid environmental material: liquid water: surface water,http://purl.obolibrary.org/obo/ENVO_00002042,,
liquid environmental material: liquid water: underground water: groundwater,NA,NA,NA,liquid environmental material: liquid water: underground water: groundwater,http://purl.obolibrary.org/obo/ENVO_01001004,"Underground water which is located in pore spaces found in rock or unconsolidated deposits such as soil, clay, or gravel.",
NA,NA,NA,NA,liquid environmental material: liquid water: contaminated water,http://purl.obolibrary.org/obo/ENVO_00002186,subclasses necessary?,
permafrost,NA,NA,NA,permafrost,http://purl.obolibrary.org/obo/ENVO_00000134,,
NA,NA,NA,NA,alluvium,http://purl.obolibrary.org/obo/ENVO_01001202,,
organic material,NA,NA,NA,organic material,http://purl.obolibrary.org/obo/ENVO_01000155,,
NA,NA,NA,NA,organic material: algal material,http://purl.obolibrary.org/obo/ENVO_01001189,,
organic material: biofilm material,NA,NA,NA,organic material: biofilm material,http://purl.obolibrary.org/obo/ENVO_01000156,,
NA,NA,NA,NA,organic material: detritus,http://purl.obolibrary.org/obo/ENVO_01001103,,
organic material: plant litter,NA,NA,NA,organic material: plant litter,http://purl.obolibrary.org/obo/ENVO_01000628,,
NA,NA,NA,NA,organic material: plant matter,http://purl.obolibrary.org/obo/ENVO_01001121,,
organic material: soil organic matter,NA,NA,NA,organic material: soil organic matter,http://purl.obolibrary.org/obo/ENVO_04000008,,
