Metadata Concept,Type,ESS-DIVE Recommendation,SESAR IGSN template field(s),IGSN Schema Descriptive Metadata Elements (child elements),DataCite,Dublin Core [element URI],Darwin Core (*required fields),MIMS/MIxS Core and Environmental Packages template,JGI Genome Online Database (GOLD),JGI Sample template,ISO19156:201112 (Observations and Measurements) - Specimen,EPA Water Quality Exchange,USGS National Digital Catalog: metadata for collection of samples,USGS NGGDPP GCMS Sample Template,NEON Biorepository Data Portal
Object Type,Object type/ Header row,objectType,Object type,"resourceTypes (resourceType, alternateResourceTypes, alternateResourceType)",resourceType,type [http://purl.org/dc/elements/1.1/type],type [http://purl.org/dc/terms/type]; basisOfRecord [http://rs.tdwg.org/dwc/terms/basisOfRecord],,,,specimenType (/spec:SF_Specimen/spec:specimenType),,dataType,,
Sample Name,Sample IDs and Related Identifiers,sampleName,Sample Name,name,,title [http://purl.org/dc/elements/1.1/title],otherCatalogNumbers; catalogNumber [http://rs.tdwg.org/dwc/terms/catalogNumber]; collectionCode [http://rs.tdwg.org/dwc/terms/collectionCode],,,Sample Name,/spec:SF_Specimen/gml:name,,,Field number,Secondary Catalog #
Alternate Sample Identifiers,Identifiers and related information,otherName,Other name(s),"alternateIdentifiers (alternateIdentifier, identifierType)",,,catalogNumber [http://rs.tdwg.org/dwc/terms/catalogNumber]; otherCatalogNumbers [http://rs.tdwg.org/dwc/terms/otherCatalogNumbers]; recordNumber [http://rs.tdwg.org/dwc/iri/recordNumber],,,,,,,Other identifier; Repository number; Laboratory number,
Sample Identifier,Sample IDs and Related Identifiers,sampleIdentifier,IGSN,identifier (identifierType),,identifier [http://purl.org/dc/elements/1.1/identifier],occurenceID* [http://rs.tdwg.org/dwc/terms/occurrenceID] or materialSampleID [http://rs.tdwg.org/dwc/terms/materialSampleID],source_mat_id,ADDING (linked to gold_ID),ADDING (linked to Sample ID from JGI LIMS),SF_Specimen (/spec:SF_Specimen/gml:identifier),ActivityIdentifier,alternateTitle - collection (can be used for individual sample IDs in the collection),GCMS identifier,Record Id
Related Identifiers,Sample IDs and Related Identifiers,relatedIdentifiers (relationType),Parent IGSN,"relatedIdentifiers (relatedIdentifier, identifierType; relationType)",,relation [http://purl.org/dc/elements/1.1/relation]; dc:source [http://purl.org/dc/elements/1.1/source],relatedResourceID[http://rs.tdwg.org/dwc/terms/relatedResourceID]; relationshipOfResource [http://rs.tdwg.org/dwc/terms/relationshipOfResource]; relationshipEstablishedDate [http://rs.tdwg.org/dwc/terms/relationshipEstablishedDate]; eventID [http://rs.tdwg.org/dwc/terms/eventID]; parentEventID [http://rs.tdwg.org/dwc/terms/parentEventID]; fieldNumber [http://rs.tdwg.org/dwc/terms/fieldNumber]; LocationID [http://rs.tdwg.org/dwc/terms/locationID]; inDataset [http://rs.tdwg.org/dwc/iri/inDataset]; references [http://purl.org/dc/terms/references; associatedMedia [http://rs.tdwg.org/dwc/terms/associatedMedia]; associatedReferences [http://rs.tdwg.org/dwc/terms/associatedReferences]; associatedSequences[http://rs.tdwg.org/dwc/terms/associatedSequences]; associatedOccurrences [http://rs.tdwg.org/dwc/terms/associatedOccurrences],ref_biomaterial; link_addit_analys (soil),,,relatedSamplingFeature or is this a sample that the current sample was extracted from ?,,,,
Collection Identifier,Sample IDs and Related Identifiers,collectionIdentifier,Not Included,identifier (identifierType),identifier,identifier [http://purl.org/dc/elements/1.1/identifier],collectionID [http://rs.tdwg.org/dwc/terms/collectionID]; datasetID [http://rs.tdwg.org/dwc/terms/datasetID];,,,Sample Group Name (in some cases),,,collectionID - collection,,
Event Identifier,Sample IDs and Related Identifiers,eventIdentifier,Not Included,identifier (identifierType),,identifier [http://purl.org/dc/elements/1.1/identifier],eventID [http://rs.tdwg.org/dwc/terms/eventID],,,,,,,,
Site Identifier,Sample IDs and Related Identifiers,siteIdentifier,Not Included,identifier (identifierType),,identifier [http://purl.org/dc/elements/1.1/identifier],locationID [http://rs.tdwg.org/dwc/terms/locationID],,,,,MonitoringLocationIdentifier,,Site identifier,
Supplemental Metadata,Identifiers and related information,supplementalMetadata,,supplementalMetadata (record),,,fieldNotes [http://rs.tdwg.org/dwc/terms/fieldNotes],,,,/spec:SF_Specimen/gml:metaDataProperty/gml:GenericMetaData can reference metadata in any dialect for more details.,,"onlineResource, browseGraphic - collection",,
Material,Sample Description,material,Material,"materials (material, alternateMaterials, alternateMaterial)",resourceType,format [http://purl.org/dc/elements/1.1/format],,env_medium; env_package,,Sample isolated from,materialClass (/spec:SF_Specimen/spec:materialClass),"ActivityMediaName (Air, Biological, Habitat, Other, Sediment, Soil, Tissue, Water)",dataType - collection,"Fossil, Rock, Sediment, Soil, Core, Sidewall, Cuttings, Auger, Water, Derivative, Other sample type",Sample Class (see file)
Classification,Sample Description,classification,Classification; Field name (informal classification),,,subject [http://purl.org/dc/elements/1.1/subject],,link_class_info (soil); soil_type; fao_class (soil); sediment_type; metagenome taxonomy,soil_link_class_info; soil_fao_class; soil_type,,,,dataType,"Type or category of: Fossil, Rock, Sediment, Soil, Core, Sidewall, Cuttings, Auger, Water, Derivative, Other sample type",Taxon; Family
Sample Description,Sample Description,sampleDescription,Sample Description,description,,description [http://purl.org/dc/elements/1.1/description],occurrenceRemarks [http://rs.tdwg.org/dwc/terms/occurrenceRemarks],,,,/spec:SF_Specimen/gml:description,,abstract - collection,,Description
Purpose,Sample Collection Details,purpose,Purpose,,,,,,,,,ProjectDescriptionText,abstract,Purpose,
Sample Size,Sample Description,sampleSize,Size,,,,sampleSizeValue [        http://rs.tdwg.org/dwc/terms/sampleSizeValue],samp_size,,,size,,,,
Size Unit,Sample Description,sizeUnit,Size unit,,,,sampleSizeUnit [        http://rs.tdwg.org/dwc/terms/sampleSizeUnit],,,,,,,,
Filter Size,Sample Collection Details,filterSize,Sample Description,,,,,,,,,,,,
Scientific Name,Sample Description,scientificName,,,,,ScientificName [http://rs.tdwg.org/dwc/terms/scientificName]; genus [http://rs.tdwg.org/dwc/terms/genus]; specificEpithet [http://rs.tdwg.org/dwc/terms/specificEpithet],,,,,,,,
Sample Remarks,Sample Description,sampleRemarks,,,,,occurrenceRemarks [http://rs.tdwg.org/dwc/terms/occurrenceRemarks],,,,,,,,
Collector,Sample Collection Details,collector,Collector/Chief Scientist,"collector (identifier, identifierType, name, affiliation, identifier, identifierType, name)",creator,creator [http://purl.org/dc/elements/1.1/creator],recordedBy [http://rs.tdwg.org/dwc/terms/recordedBy],,,,/spec:SF_Specimen/sa:parameter/om:NamedValue/om:value/cit:CI_Responsibility[cit:role/cit:CI_RoleCode='collector']/cit:party/cit:CI_Organisation/cit:individual/cit:CI_Individual,,,Collector,Collector
Collection Date,Sample Collection Details,collectionDate,Collection date; Collection date (end),collectionTime,,date [http://purl.org/dc/elements/1.1/date],eventDate* [http://rs.tdwg.org/dwc/terms/eventDate],collection_date,sample_collection_day; sample_collection_month; sample_collection_year,Collection year; Collection month; Collection day,"samplingTime
",ActivityStartDate,date - collection,ddmmyyyy,Date
Collection Time,Sample Collection Details,,Collection time,,,,,,sample_collection_hour; sample_collection_minute,,,ActivityStartTime,,,
Collection Method,Sample Collection Details,collectionMethod,Collection method,"collectionMethods (collectionMethod, alternateCollectionMethods, alternateCollectionMethod)",description[@descriptionType='Methods'],,samplingProtocol [http://rs.tdwg.org/dwc/terms/samplingProtocol],samp_collect_device,,,samplingMethod,SampleCollectionMethod; SampleCollectionMethodID; SampleCollectionMethod Context; SampleCollection EquipmentName; Sample CollectionEquipmentComment,,,
Processing Details,Sample Collection Details,processingDetails,Not Included,,,,preparations [http://rs.tdwg.org/dwc/iri/preparations],"samp_mat_process, size_frac; samp_store_dur (sediment, water, microbial mat/biofilm, plant); samp_store loc (sediment, water, microbial mat/biofilm, plant); samp_store_temp (sediment, water, microbial mat/biofilm, plant)",,,SF_Process: processingDetails,,,,Preparations
Project Name,Sample Collection Details,projectName,Field Program/Cruise,,,publisher [http://purl.org/dc/elements/1.1/publisher],,project_name,,,,ProjectName; ProjectIdentifier,,Field party,
Latitude,Location,latitude,Latitude,"geoLocations (geoLocation, geometry, geometryType, sridType)",,coverage [http://purl.org/dc/elements/1.1/coverage],decimalLatitude [http://rs.tdwg.org/dwc/terms/decimalLatitude],lat_lon,latitude,Latitude,SamplingLocation: /spec:SF_Specimen/spec:samplingLocation/gml:Point | Line | Polygon,LatitudeMeasure,coordinates or alternateGeometry - collection,Latitude,Locality
Longitude,Location,longitude,Longitude,"geoLocations (geoLocation, geometry, geometryType, sridType)",,coverage [http://purl.org/dc/elements/1.1/coverage],decimalLongitude [http://rs.tdwg.org/dwc/terms/decimalLongitude],lat_lon,longitude,Longitude,SamplingLocation: /spec:SF_Specimen/spec:samplingLocation/gml:Point | Line | Polygon,LongitudeMeasure,coordinates or alternateGeometry - collection,Longitude,Locality
coordinateUncertaintyInMeters,Location,coordinateUncertaintyInMeters,,,,,coordinateUncertaintyInMeters [http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters],,,,,,,,
Geolocation Instrument,Location,geolocationInstrument,Navigation Type,,,,georeferenceProtocol [	http://rs.tdwg.org/dwc/iri/georeferenceProtocol],,,,,,,,
Location Description,Location,locationDescription,Location Description,"GeoLocations (toponym, identifier, identifierType, name)",,coverage [http://purl.org/dc/elements/1.1/coverage],locality [http://rs.tdwg.org/dwc/terms/locality],,,,SamplingLocation: nameLocation,MonitoringLocationName; MonitoringLocationTypeName,abstract - collection,Township; Range; Section; Fraction of section; Meridian; Federal land unit; Other location,"Locality (includes site, plot)"
Country,Location,country,Country,"GeoLocations (toponym, identifier, identifierType, name)",geoLocationPlace,coverage [http://purl.org/dc/elements/1.1/coverage],country [	http://rs.tdwg.org/dwc/terms/country],geo_loc_name,geographic_location,Country,,CountryCode,abstract - collection,,
Elevation start,Location,elevation,Elevation start,,,,minimumElevationInMeters [http://rs.tdwg.org/dwc/terms/minimumElevationInMeters]; maximumElevationInMeters [        http://rs.tdwg.org/dwc/terms/maximumElevationInMeters],elev,,,samplingElevation,,,,Elevation
Elevation end,Location,,Elevation end,,,,,,,,,,,,
Elevation Unit,Location,elevationUnit,Elevation unit,,,,,,,,,,,,
Minimum Depth,Location,minimumDepth,Depth in core (min),,,,minimumDepthInMeters [http://rs.tdwg.org/dwc/terms/minimumDepthInMeters],"depth (from environmental packages: sediment, soil, water, microbial mat/biofilm, plant)",depth,Altitude/depth,,ActivityDepthHeightMeasure,verticalExtent - collection,,
Maximum Depth,Location,maximumDepth,Depth in core (max),,,, maximumDepthInMeters [http://rs.tdwg.org/dwc/terms/maximumDepthInMeters],,,,,,verticalExtent - collection,,
Depth Scale,Location,depthScale,Depth scale,,,,,,,,,,verticalExtent - collection,,
minimumDistanceAboveSurfaceInMeters,Location,minimumDistanceAboveSurfaceInMeters,Not Included,,,,minimumDistanceAboveSurfaceInMeters [http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters]; maximumDistanceAboveSurfaceInMeters [http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters],alt,altitude,,,ActivityDepthHeightMeasure,,,
maximumDistanceAboveSurfaceInMeters,Location,maximumDistanceAboveSurfaceInMeters,Not Included,,,,maximumDistanceAboveSurfaceInMeters [http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters],,,,,,,,
Physiographic Feature,Environmental context,physiographicFeature,Physiographic feature,,,,habitat [http://rs.tdwg.org/dwc/iri/habitat],env_local_scale,habitat,,,,,,Habitat
Biome,Environmental context,biome,Not Included,,,,,env_broad_scale,,,,,,,
Release Date,Access,releaseDate,Release Date,,,,,,,,,,,,
Sample Access,Access,,,sampleAccess,,rights [http://purl.org/dc/elements/1.1/rights],license [        http://purl.org/dc/terms/license]; accessRights [http://purl.org/dc/terms/accessRights],,,,,,supplementalInformation - collection (info on how to access),,
Current Archive,Access,currentArchive,Current Archive,,,,inCollection [http://rs.tdwg.org/dwc/iri/inCollection]; institutionID [http://rs.tdwg.org/dwc/terms/institutionID]; institutionCode[        http://rs.tdwg.org/dwc/terms/institutionCode]; ownerInstitutionCode [http://rs.tdwg.org/dwc/terms/ownerInstitutionCode],,,,currentLocation,,,,
Current Archive Contact,Access,,,,,,,,,,,,,,
